2008-10-31, 5
2008-11-03, 2
2008-11-04, 2
2008-11-05, 5
2008-11-06, 2
2008-11-07, 4
2008-11-10, 3
2008-11-11, 1
2008-11-12, 5
2008-11-13, 5
2008-11-14, 5
2008-11-17, 2
2008-11-18, 2
2008-11-19, 4
2008-11-21, 7
2008-11-24, 2
2008-11-25, 2
2008-11-26, 3
2008-12-01, 2
2008-12-02, 1
2008-12-03, 1
2008-12-04, 2
2008-12-08, 4
2008-12-09, 2
2008-12-10, 1
2008-12-11, 4
2008-12-12, 2
2008-12-15, 2
2008-12-16, 1
2008-12-17, 2
2008-12-18, 1
2008-12-19, 3
2008-12-22, 2
2008-12-23, 2
2008-12-24, 2
2009-01-05, 2
2009-01-07, 4
2009-01-08, 3
2009-01-09, 2
2009-01-12, 5
2009-01-13, 2
2009-01-14, 4
2009-01-15, 3
2009-01-16, 2
2009-01-21, 1
2009-01-22, 2
2009-01-23, 2
2009-01-26, 3
2009-01-27, 2
2009-01-28, 2
2009-01-29, 5
2009-01-30, 2
2009-02-02, 3
2009-02-03, 3
2009-02-04, 1
2009-02-05, 4
2009-02-06, 3
2009-02-09, 3
2009-02-10, 2
2009-02-11, 2
2009-02-12, 2
2009-02-13, 4
2009-02-17, 2
2009-02-18, 2
2009-02-19, 2
2009-02-20, 3
2009-02-23, 2
2009-02-24, 2
2009-02-25, 3
2009-02-26, 4
2009-02-27, 1
2009-03-02, 2
2009-03-03, 1
2009-03-04, 5
2009-03-05, 1
2009-03-06, 1
2009-03-09, 1
2009-03-10, 3
2009-03-11, 4
2009-03-12, 2
2009-03-13, 3
2009-03-16, 4
2009-03-17, 1
2009-03-18, 3
2009-03-19, 8
2009-03-20, 2
2009-03-23, 2
2009-03-24, 4
2009-03-25, 1
2009-03-26, 8
2009-03-27, 2
2009-03-30, 1
2009-03-31, 4
2009-04-01, 3
2009-04-02, 3
2009-04-03, 1
2009-04-06, 1
2009-04-07, 3
2009-04-08, 4
2009-04-09, 2
2009-04-10, 2
2009-04-13, 2
2009-04-14, 6
2009-04-15, 1
2009-04-16, 2
2009-04-17, 8
2009-04-20, 2
2009-04-21, 6
2009-04-22, 5
2009-04-23, 7
2009-04-24, 2
2009-04-25, 1
2009-04-27, 1
2009-04-29, 6
2009-04-30, 7
2009-05-01, 7
2009-05-02, 1
2009-05-03, 1
2009-05-04, 3
2009-05-05, 5
2009-05-06, 3
2009-05-07, 6
2009-05-08, 2
2009-05-11, 3
2009-05-12, 2
2009-05-13, 1
2009-05-14, 3
2009-05-15, 4
2009-05-16, 1
2009-05-18, 4
2009-05-19, 3
2009-05-20, 3
2009-05-21, 3
2009-05-22, 1
2009-05-26, 2
2009-05-27, 3
2009-05-28, 3
2009-05-29, 4
2009-06-03, 3
2009-06-04, 2
2009-06-05, 4
2009-06-08, 4
2009-06-09, 3
2009-06-10, 4
2009-06-11, 3
2009-06-12, 4
2009-06-15, 2
2009-06-16, 2
2009-06-17, 1
2009-06-18, 2
2009-06-19, 1
2009-06-22, 3
2009-06-23, 2
2009-06-24, 4
2009-06-25, 2
2009-06-26, 1
2009-06-29, 2
2009-06-30, 2
2009-07-01, 4
2009-07-02, 2
2009-07-06, 1
2009-07-07, 4
2009-07-08, 3
2009-07-09, 5
2009-07-10, 2
2009-07-13, 3
2009-07-15, 2
2009-07-16, 2
2009-07-17, 1
2009-07-20, 3
2009-07-21, 2
2009-07-22, 3
2009-07-23, 3
2009-07-24, 3
2009-07-27, 2
2009-07-28, 3
2009-07-29, 3
2009-07-30, 3
2009-07-31, 3
2009-08-03, 4
2009-08-04, 1
2009-08-05, 2
2009-08-06, 5
2009-08-07, 3
2009-08-10, 4
2009-08-11, 2
2009-08-12, 2
2009-08-13, 3
2009-08-14, 1
2009-08-17, 2
2009-08-18, 1
2009-08-19, 2
2009-08-20, 3
2009-08-21, 2
2009-08-24, 1
2009-08-25, 4
2009-08-26, 3
2009-08-27, 2
2009-08-28, 1
2009-08-31, 3
2009-09-01, 2
2009-09-02, 5
2009-09-03, 3
2009-09-04, 1
2009-09-08, 1
2009-09-09, 2
2009-09-10, 4
2009-09-11, 1
2009-09-14, 3
2009-09-15, 7
2009-09-16, 3
2009-09-17, 4
2009-09-18, 9
2009-09-19, 5
2009-09-20, 1
2009-09-21, 13
2009-09-22, 3
2009-09-23, 7
2009-09-24, 22
2009-09-25, 10
2009-09-28, 6
2009-09-29, 11
2009-09-30, 11
2009-10-01, 7
2009-10-02, 8
2009-10-03, 1
2009-10-05, 6
2009-10-06, 4
2009-10-07, 7
2009-10-08, 7
2009-10-09, 11
2009-10-13, 3
2009-10-14, 3
2009-10-15, 5
2009-10-16, 3
2009-10-18, 1
2009-10-19, 6
2009-10-20, 2
2009-10-21, 6
2009-10-22, 3
2009-10-23, 3
2009-10-26, 2
2009-10-27, 5
2009-10-28, 4
2009-10-29, 4
2009-10-30, 2
2009-10-31, 2
2009-11-02, 1
2009-11-03, 3
2009-11-04, 2
2009-11-05, 4
2009-11-06, 5
2009-11-07, 1
2009-11-09, 1
2009-11-10, 1
2009-11-11, 2
2009-11-12, 4
2009-11-13, 4
2009-11-16, 7
2009-11-17, 4
2009-11-18, 3
2009-11-19, 3
2009-11-20, 2
2009-11-23, 2
2009-11-24, 4
2009-11-25, 2
2009-11-26, 2
2009-11-30, 3
2009-12-01, 3
2009-12-02, 5
2009-12-03, 6
2009-12-04, 1
2009-12-05, 1
2009-12-07, 4
2009-12-08, 3
2009-12-09, 3
2009-12-10, 4
2009-12-11, 2
2009-12-13, 1
2009-12-14, 2
2009-12-15, 3
2009-12-16, 2
2009-12-17, 3
2009-12-18, 3
2009-12-21, 1
2009-12-22, 2
2009-12-23, 2
2009-12-24, 2
2009-12-31, 1
2010-01-04, 4
2010-01-05, 5
2010-01-06, 1
2010-01-07, 5
2010-01-08, 5
2010-01-11, 3
2010-01-12, 1
2010-01-13, 2
2010-01-14, 4
2010-01-15, 2
2010-01-18, 1
2010-01-19, 3
2010-01-20, 2
2010-01-21, 4
2010-01-22, 7
2010-01-24, 1
2010-01-25, 1
2010-01-26, 3
2010-01-27, 3
2010-01-28, 3
2010-01-29, 1
2010-02-01, 1
2010-02-02, 2
2010-02-03, 3
2010-02-04, 3
2010-02-09, 1
2010-02-11, 2
2010-02-13, 1
2010-02-16, 4
2010-02-17, 3
2010-02-18, 3
2010-02-19, 7
2010-02-20, 15
2010-02-21, 13
2010-02-22, 3
2010-02-23, 3
2010-02-24, 3
2010-02-25, 2
2010-02-28, 1
2010-03-01, 8
2010-03-02, 3
2010-03-03, 3
2010-03-08, 4
2010-03-09, 3
2010-03-10, 4
2010-03-11, 4
2010-03-12, 3
2010-03-15, 2
2010-03-16, 2
2010-03-17, 3
2010-03-18, 3
2010-03-19, 1
2010-03-20, 1
2010-03-22, 3
2010-03-23, 1
2010-03-24, 2
2010-03-25, 6
2010-03-26, 8
2010-03-28, 1
2010-03-29, 2
2010-03-30, 3
2010-03-31, 3
2010-04-01, 5
2010-04-02, 6
2010-04-03, 1
2010-04-05, 1
2010-04-06, 4
2010-04-07, 5
2010-04-08, 15
2010-04-09, 5
2010-04-12, 2
2010-04-13, 2
2010-04-14, 4
2010-04-15, 2
2010-04-16, 3
